_time,_value
2022-10-09T20:59:08.5764023Z,23.1
2022-10-09T20:59:09.0082418Z,23.1
2022-10-09T20:59:11.5073409Z,23.1
2022-10-09T20:59:15.528544Z,23.1
2022-10-09T20:59:18.0328277Z,23.2
2022-10-09T20:59:20.5271933Z,23.2
2022-10-09T20:59:23.0727933Z,23.2
2022-10-09T20:59:25.5281061Z,23.2
2022-10-09T20:59:29.5505456Z,23.2
2022-10-09T20:59:32.0473394Z,23.3
2022-10-09T20:59:34.5471738Z,23.3
2022-10-09T20:59:37.0472852Z,23.3
2022-10-09T20:59:39.5456813Z,23.3
2022-10-09T20:59:43.5657894Z,23.3
2022-10-09T20:59:46.0662766Z,23.3
2022-10-09T20:59:48.5654375Z,23.4
2022-10-09T20:59:51.066024Z,23.4
2022-10-09T20:59:53.5653585Z,23.4
2022-10-09T20:59:57.5860254Z,23.4
2022-10-09T21:00:00.1258506Z,23.4
2022-10-09T21:00:02.6446686Z,23.5
2022-10-09T21:00:05.0863909Z,23.5
2022-10-09T21:00:07.586641Z,23.5
2022-10-09T21:00:11.60592Z,23.5
2022-10-09T21:00:14.1053114Z,23.5
2022-10-09T21:00:16.6060094Z,23.6
2022-10-09T21:00:19.1071489Z,23.6
2022-10-09T21:00:21.6055648Z,23.6
2022-10-09T21:00:25.6258374Z,23.6
2022-10-09T21:00:28.1262491Z,23.6
2022-10-09T21:00:30.6684591Z,23.6
2022-10-09T21:00:33.125688Z,23.6
2022-10-09T21:00:35.6253815Z,23.7
2022-10-09T21:00:39.6905811Z,23.7
2022-10-09T21:00:42.1880698Z,23.8
2022-10-09T21:00:44.6462918Z,23.8
2022-10-09T21:00:47.14538Z,23.8
2022-10-09T21:00:49.6451206Z,23.8
2022-10-09T21:00:53.7082528Z,23.9
2022-10-09T21:00:56.1647753Z,23.9
2022-10-09T21:00:58.6636018Z,23.9
2022-10-09T21:01:01.1646442Z,23.9
2022-10-09T21:01:03.6646892Z,23.9
2022-10-09T21:01:07.6847128Z,23.9
2022-10-09T21:01:10.1845385Z,24
2022-10-09T21:01:12.6832651Z,24
2022-10-09T21:01:15.2282394Z,24
2022-10-09T21:01:17.6840127Z,24
2022-10-09T21:01:21.7039379Z,24
2022-10-09T21:01:24.2490022Z,24
2022-10-09T21:01:26.7049357Z,24
2022-10-09T21:01:29.2043572Z,24.1
2022-10-09T21:01:31.7059612Z,24.1
2022-10-09T21:01:35.7251177Z,24.2
2022-10-09T21:01:38.268278Z,24.2
2022-10-09T21:01:40.7257036Z,24.2
2022-10-09T21:01:43.2246451Z,24.2
2022-10-09T21:01:45.7232232Z,24.2
2022-10-09T21:01:49.7446654Z,24.2
2022-10-09T21:01:52.2874126Z,24.2
2022-10-09T21:01:54.7874682Z,24.3
2022-10-09T21:01:57.2445006Z,24.3
2022-10-09T21:01:59.7444188Z,24.3
2022-10-09T21:02:03.7644074Z,24.3
2022-10-09T21:02:06.2633278Z,24.4
2022-10-09T21:02:08.8064578Z,24.4
2022-10-09T21:02:11.2639293Z,24.4
2022-10-09T21:02:13.7640505Z,24.4
2022-10-09T21:02:17.7840638Z,24.4
2022-10-09T21:02:20.2827759Z,24.4
2022-10-09T21:02:22.7839913Z,24.4
2022-10-09T21:02:25.2838395Z,24.5
2022-10-09T21:02:27.7878883Z,24.5
2022-10-09T21:02:31.8037532Z,24.5
2022-10-09T21:02:34.3034987Z,24.5
2022-10-09T21:02:36.8031877Z,24.5
2022-10-09T21:02:39.302248Z,24.5
2022-10-09T21:02:41.8033937Z,24.6
