result,table,_start,_stop,_time,_value,_field,_measurement,clientId,lat,lng,prediction
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:02.3585624Z,29.4,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:04.8724766Z,29.4,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:07.3884615Z,29.4,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:09.8994101Z,29.4,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:12.414701Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:14.9293757Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:17.4438861Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:19.9595001Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:22.4717862Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:24.9932596Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:27.5071035Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:30.0184794Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:32.5326784Z,29.5,temperature,val,diubi-esp-32,42.84629,13.904817,no
,0,2022-08-10T15:00:00Z,2022-09-20T15:00:00Z,2022-08-25T10:13:35.0476863Z,29.6,temperature,val,diubi-esp-32,42.84629,13.904817,no
