ds,y
2022-11-07T09:27:08.272825042Z,176
2022-11-07T09:27:10.8854355Z,178
2022-11-07T09:27:13.272010334Z,74
2022-11-07T09:27:15.797505334Z,176
2022-11-07T09:27:18.357038042Z,181
2022-11-07T09:27:20.813494459Z,192
2022-11-07T09:27:23.290506209Z,188
2022-11-07T09:27:25.831306417Z,37
2022-11-07T09:27:28.289086959Z,167
2022-11-07T09:27:30.848100084Z,143
2022-11-07T09:27:33.308889125Z,128
2022-11-07T09:27:35.784748334Z,128
2022-11-07T09:27:38.27507725Z,106
2022-11-07T09:27:40.784072584Z,128
2022-11-07T09:27:43.343492084Z,7
2022-11-07T09:27:45.799646417Z,121
2022-11-07T09:27:48.274646667Z,128
2022-11-07T09:27:50.820445084Z,127
2022-11-07T09:27:53.379034459Z,124
2022-11-07T09:27:55.835960792Z,0
2022-11-07T09:27:58.29408425Z,135
2022-11-07T09:28:00.7721975Z,134
2022-11-07T09:28:03.3128025Z,134
2022-11-07T09:28:05.871710084Z,135
2022-11-07T09:28:08.328329625Z,93
2022-11-07T09:28:10.789491Z,134
2022-11-07T09:28:13.272721167Z,128
2022-11-07T09:28:15.773403834Z,138
2022-11-07T09:28:18.366555375Z,146
2022-11-07T09:28:20.82308275Z,145
2022-11-07T09:28:23.273903459Z,158
2022-11-07T09:28:25.840837834Z,14
2022-11-07T09:28:28.275054917Z,167
2022-11-07T09:28:30.773834542Z,170
2022-11-07T09:28:33.315813417Z,179
2022-11-07T09:28:35.772694834Z,191
2022-11-07T09:28:38.273796875Z,175
2022-11-07T09:28:40.793730375Z,174
2022-11-07T09:28:43.362968792Z,208
2022-11-07T09:28:45.807421709Z,174
2022-11-07T09:28:48.277615375Z,209
2022-11-07T09:28:50.827960584Z,191
2022-11-07T09:28:53.287558125Z,183
2022-11-07T09:28:55.775836542Z,111
2022-11-07T09:28:58.303439959Z,147
2022-11-07T09:29:00.774564125Z,127
2022-11-07T09:29:03.321312084Z,115
2022-11-07T09:29:05.7724525Z,113
2022-11-07T09:29:08.3388625Z,38
2022-11-07T09:29:10.774460792Z,127
2022-11-07T09:29:13.356439042Z,138
2022-11-07T09:29:15.814303667Z,127
2022-11-07T09:29:18.37311175Z,112
2022-11-07T09:29:20.833094875Z,80
2022-11-07T09:29:23.289679209Z,132
2022-11-07T09:29:25.849874584Z,121
2022-11-07T09:29:28.307122709Z,130
2022-11-07T09:29:30.867387042Z,156
2022-11-07T09:29:33.27314625Z,157
2022-11-07T09:29:35.783127667Z,179
2022-11-07T09:29:38.348288084Z,50
2022-11-07T09:29:40.800865125Z,203
2022-11-07T09:29:43.362965584Z,206
2022-11-07T09:29:45.77775925Z,202
2022-11-07T09:29:48.381511042Z,209
2022-11-07T09:29:50.837256042Z,144
2022-11-07T09:29:53.295635209Z,197
2022-11-07T09:29:55.854069792Z,188
2022-11-07T09:29:58.275625792Z,162
2022-11-07T09:30:00.780795792Z,111
2022-11-07T09:30:03.278060084Z,85
2022-11-07T09:30:05.788282792Z,106
2022-11-07T09:30:08.279354542Z,0
2022-11-07T09:30:10.805308709Z,112
2022-11-07T09:30:13.366394542Z,126
2022-11-07T09:30:15.823072792Z,113
2022-11-07T09:30:18.384126167Z,123
2022-11-07T09:30:20.773531Z,38
2022-11-07T09:30:23.298857375Z,151
2022-11-07T09:30:25.859677459Z,175
2022-11-07T09:30:28.318827875Z,183
2022-11-07T09:30:30.877667042Z,193
2022-11-07T09:30:33.335491459Z,170
2022-11-07T09:30:35.790430584Z,197
2022-11-07T09:30:38.352984875Z,208
2022-11-07T09:30:40.811653417Z,208
2022-11-07T09:30:43.37141025Z,197
2022-11-07T09:30:45.826404Z,195
2022-11-07T09:30:48.28743575Z,203
2022-11-07T09:30:50.846881917Z,91
2022-11-07T09:30:53.305573334Z,215
2022-11-07T09:30:55.775459459Z,221
2022-11-07T09:30:58.323134084Z,219
2022-11-07T09:31:00.884823375Z,197
2022-11-07T09:31:03.339646542Z,64
2022-11-07T09:31:05.795887625Z,112
2022-11-07T09:31:08.357937792Z,101
2022-11-07T09:31:10.815695459Z,112
2022-11-07T09:31:13.276730167Z,113
2022-11-07T09:31:15.831759417Z,98
2022-11-07T09:31:18.277061167Z,121
2022-11-07T09:31:20.851105917Z,122
2022-11-07T09:31:23.308682959Z,125
2022-11-07T09:31:25.868566584Z,126
2022-11-07T09:31:28.327955334Z,115
2022-11-07T09:31:30.777417042Z,130
2022-11-07T09:31:33.344914834Z,28
2022-11-07T09:31:35.800554667Z,147
2022-11-07T09:31:38.362467834Z,164
2022-11-07T09:31:40.820182542Z,177
2022-11-07T09:31:43.380196084Z,181
2022-11-07T09:31:45.837878292Z,144
2022-11-07T09:31:48.296262875Z,187
2022-11-07T09:31:50.854859834Z,195
2022-11-07T09:31:53.282284209Z,178
2022-11-07T09:31:55.874927667Z,208
2022-11-07T09:31:58.331151209Z,192
2022-11-07T09:32:00.789957834Z,208
2022-11-07T09:32:03.308162542Z,169
2022-11-07T09:32:05.808953209Z,173
2022-11-07T09:32:08.368972625Z,130
2022-11-07T09:32:10.824765875Z,102
2022-11-07T09:32:13.279013667Z,112
2022-11-07T09:32:15.778235084Z,35
2022-11-07T09:32:18.300652417Z,129
2022-11-07T09:32:20.860507417Z,129
2022-11-07T09:32:23.319923209Z,118
2022-11-07T09:32:25.880424917Z,118
2022-11-07T09:32:28.278597917Z,111
2022-11-07T09:32:30.794355417Z,154
2022-11-07T09:32:33.356987084Z,155
2022-11-07T09:32:35.812224917Z,173
2022-11-07T09:32:38.372318709Z,173
2022-11-07T09:32:40.778964Z,176
2022-11-07T09:32:43.288010084Z,171
2022-11-07T09:32:45.846392292Z,23
2022-11-07T09:32:48.278802334Z,178
2022-11-07T09:32:50.866103584Z,186
2022-11-07T09:32:53.278310167Z,166
2022-11-07T09:32:55.885365667Z,144
2022-11-07T09:32:58.34047225Z,61
2022-11-07T09:33:00.798727875Z,114
2022-11-07T09:33:03.358188125Z,107
2022-11-07T09:33:05.817877709Z,104
2022-11-07T09:33:08.376780792Z,112
2022-11-07T09:33:10.834249125Z,94
2022-11-07T09:33:13.291651875Z,115
2022-11-07T09:33:15.851444292Z,113
2022-11-07T09:33:18.309904959Z,112
2022-11-07T09:33:20.869632125Z,111
2022-11-07T09:33:23.329516542Z,103
2022-11-07T09:33:25.788905209Z,118
2022-11-07T09:33:28.303121584Z,0
2022-11-07T09:33:30.803029959Z,108
2022-11-07T09:33:33.36459Z,113
2022-11-07T09:33:35.821009584Z,103
2022-11-07T09:33:38.380968375Z,111
2022-11-07T09:33:40.839396792Z,89
2022-11-07T09:33:43.297726042Z,125
2022-11-07T09:33:45.778997875Z,112
2022-11-07T09:33:48.314724959Z,137
2022-11-07T09:33:50.875925084Z,152
2022-11-07T09:33:53.336672Z,145
2022-11-07T09:33:55.782745292Z,164
2022-11-07T09:33:58.354795417Z,91
2022-11-07T09:34:00.810724167Z,167
2022-11-07T09:34:03.279898834Z,169
2022-11-07T09:34:05.779408167Z,162
2022-11-07T09:34:08.386790125Z,173
2022-11-07T09:34:10.779861834Z,94
2022-11-07T09:34:13.298908125Z,189
2022-11-07T09:34:15.863606584Z,176
2022-11-07T09:34:18.280767Z,176
2022-11-07T09:34:20.88019825Z,179
2022-11-07T09:34:23.334742584Z,182
2022-11-07T09:34:25.794950709Z,208
2022-11-07T09:34:28.357170625Z,214
2022-11-07T09:34:30.814669959Z,183
2022-11-07T09:34:33.37273825Z,185
2022-11-07T09:34:35.830107917Z,198
2022-11-07T09:34:38.289183834Z,208
2022-11-07T09:34:40.849272542Z,26
2022-11-07T09:34:43.305704334Z,186
2022-11-07T09:34:45.823747834Z,177
2022-11-07T09:34:48.281097334Z,176
2022-11-07T09:34:50.88519525Z,183
2022-11-07T09:34:53.282518709Z,115
2022-11-07T09:34:55.80224Z,164
2022-11-07T09:34:58.362832Z,144
2022-11-07T09:35:00.817954875Z,131
2022-11-07T09:35:03.380722Z,127
2022-11-07T09:35:05.781639125Z,91
2022-11-07T09:35:08.294583459Z,115
2022-11-07T09:35:10.85297825Z,106
2022-11-07T09:35:13.27951175Z,115
2022-11-07T09:35:15.787192459Z,111
2022-11-07T09:35:18.330531292Z,99
2022-11-07T09:35:20.889769209Z,112
2022-11-07T09:35:23.346478375Z,16
2022-11-07T09:35:25.781713625Z,119
2022-11-07T09:35:28.366388584Z,126
2022-11-07T09:35:30.823238167Z,126
2022-11-07T09:35:33.28222875Z,109
2022-11-07T09:35:35.842006792Z,80
2022-11-07T09:35:38.29735425Z,116
2022-11-07T09:35:40.862034667Z,113
2022-11-07T09:35:43.315472417Z,112
2022-11-07T09:35:45.875141334Z,114
2022-11-07T09:35:48.334722959Z,102
2022-11-07T09:35:50.792831167Z,112
2022-11-07T09:35:53.352572042Z,0
2022-11-07T09:35:55.811157584Z,165
2022-11-07T09:35:58.369738334Z,176
2022-11-07T09:36:00.827332292Z,190
2022-11-07T09:36:03.389015959Z,179
2022-11-07T09:36:05.845324875Z,97
2022-11-07T09:36:08.304335292Z,174
2022-11-07T09:36:10.864553584Z,166
2022-11-07T09:36:13.322994042Z,156
2022-11-07T09:36:15.880060084Z,160
2022-11-07T09:36:18.33941575Z,144
2022-11-07T09:36:20.798290292Z,165
2022-11-07T09:36:23.357930459Z,177
2022-11-07T09:36:25.819240875Z,174
2022-11-07T09:36:28.374689459Z,171
2022-11-07T09:36:30.832255959Z,144
2022-11-07T09:36:33.393571167Z,145
2022-11-07T09:36:35.850821667Z,17
2022-11-07T09:36:38.306492125Z,130
2022-11-07T09:36:40.867750125Z,126
2022-11-07T09:36:43.284368Z,117
2022-11-07T09:36:45.890036875Z,111
2022-11-07T09:36:48.36448725Z,75
2022-11-07T09:36:50.784068917Z,109
2022-11-07T09:36:53.280387542Z,116
2022-11-07T09:36:55.78234175Z,135
2022-11-07T09:36:58.285229042Z,144
2022-11-07T09:37:00.799809709Z,139
2022-11-07T09:37:03.282216042Z,149
2022-11-07T09:37:05.782414084Z,108
2022-11-07T09:37:08.282085667Z,172
2022-11-07T09:37:10.786618792Z,165
2022-11-07T09:37:13.33274575Z,179
2022-11-07T09:37:15.786414542Z,170
2022-11-07T09:37:18.282220334Z,81
2022-11-07T09:37:20.782683334Z,192
2022-11-07T09:37:23.284438709Z,192
2022-11-07T09:37:25.781624584Z,172
2022-11-07T09:37:28.3853585Z,178
2022-11-07T09:37:30.840512875Z,175
2022-11-07T09:37:33.299659875Z,190
2022-11-07T09:37:35.782424959Z,187
2022-11-07T09:37:38.281891292Z,191
2022-11-07T09:37:40.784274917Z,166
2022-11-07T09:37:43.281031584Z,151
2022-11-07T09:37:45.791519542Z,140
2022-11-07T09:37:48.282211625Z,0
2022-11-07T09:37:50.810498084Z,91
2022-11-07T09:37:53.371511834Z,96
2022-11-07T09:37:55.828697334Z,100
2022-11-07T09:37:58.388151209Z,112
2022-11-07T09:38:00.846306125Z,64
2022-11-07T09:38:03.283478834Z,106
2022-11-07T09:38:05.864068084Z,103
2022-11-07T09:38:08.283252375Z,107
2022-11-07T09:38:10.880835709Z,147
2022-11-07T09:38:13.342481042Z,87
2022-11-07T09:38:15.797418875Z,113
2022-11-07T09:38:18.358866875Z,112
2022-11-07T09:38:20.815318292Z,118
2022-11-07T09:38:23.282852834Z,114
2022-11-07T09:38:25.833080125Z,100
2022-11-07T09:38:28.393234167Z,112
2022-11-07T09:38:30.853169459Z,13
2022-11-07T09:38:33.309326459Z,118
2022-11-07T09:38:35.868890334Z,138
2022-11-07T09:38:38.326658584Z,139
2022-11-07T09:38:40.886566459Z,151
2022-11-07T09:39:25.847469709Z,162
2022-11-07T09:39:28.297718917Z,185
2022-11-07T09:39:30.783361834Z,192
2022-11-07T09:39:33.320269959Z,169
2022-11-07T09:39:35.877115167Z,157
2022-11-07T09:39:38.293048625Z,176
2022-11-07T09:39:40.908575834Z,175
2022-11-07T09:39:43.304405209Z,47
2022-11-07T09:39:45.8104265Z,147
2022-11-07T09:39:48.284073917Z,139
2022-11-07T09:39:50.830262959Z,115
