#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,clientId,lat,lng,prediction
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:30:00Z,58.725,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:30:10Z,58.9,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:30:20Z,58.925,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:30:30Z,59,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:30:40Z,58.975,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:30:50Z,59.175,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:31:00Z,59.349999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:31:10Z,59.45,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:31:20Z,59.275000000000006,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:31:30Z,59.25,humidity,val,diubi-esp-32,42.84629,13.904817,no
,,0,2022-08-29T13:05:11.790971Z,2022-08-29T14:05:11.790971Z,2022-08-29T13:31:40Z,59.224999999999994,humidity,val,diubi-esp-32,42.84629,13.904817,no
